product_name,price,image_url,product_link,source_page
New Look 3 pack boxer in black,SGD$32.99,,https://www.asos.com/new-look/new-look-3-pack-boxer-in-black/prd/209592898#colourWayId-209592911,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Polo Ralph Lauren 3 pack bear socks gift box in multi,SGD$117.99,,https://www.asos.com/polo-ralph-lauren/polo-ralph-lauren-3-pack-bear-socks-gift-box-in-multi/prd/208838324#colourWayId-208838328,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
JJ Rebel 5 pack ribbed socks in white,SGD$18.99,,https://www.asos.com/jj-rebel/jj-rebel-5-pack-ribbed-socks-in-white/prd/209539668#colourWayId-209539669,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 5 pack oversized t-shirts in black and white,SGD$102.99,,https://www.asos.com/asos-design/asos-design-essentials-5-pack-oversized-t-shirts-in-black-and-white/prd/208514173#colourWayId-208514176,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ARKET cotton rich 3 pack premium trunk boxer set in black,SGD$62.99,,https://www.asos.com/arket/arket-cotton-rich-3-pack-premium-trunk-boxer-set-in-black/prd/208884497#colourWayId-208884506,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
New Look 3 pack boxer in black,SGD$32.99,,https://www.asos.com/new-look/new-look-3-pack-boxer-in-black/prd/205973817#colourWayId-205973818,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
New Balance 3 pack everyday crew socks in light neutrals,SGD$40.99,,https://www.asos.com/new-balance/new-balance-3-pack-everyday-crew-socks-in-light-neutrals/prd/208242257#colourWayId-208242260,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Topman 3 pack regular fit t-shirt in black,SGD$55.99,,https://www.asos.com/topman/topman-3-pack-regular-fit-t-shirt-in-black/prd/208056984#colourWayId-208056985,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Vans 3-pack classic crew socks in white,SGD$40.99,,https://www.asos.com/vans/vans-3-pack-classic-crew-socks-in-white/prd/209248464#colourWayId-209248465,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"Calvin Klein Icon Cotton Stretch 3 pack darted trunk in black, white, grey",SGD$94.99,,https://www.asos.com/calvin-klein/calvin-klein-icon-cotton-stretch-3-pack-darted-trunk-in-black-white-grey/prd/207830219#colourWayId-207830220,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN 3 pack puller cord bracelet in multi,SGD$18.99,,https://www.asos.com/asos-design/asos-design-3-pack-puller-cord-bracelet-in-multi/prd/208886703#colourWayId-208886754,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack relaxed crew neck t-shirts in white,SGD$40.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-relaxed-crew-neck-t-shirts-in-white/prd/209198119#colourWayId-209198124,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 2 pack crew neck t-shirts in khaki and cream,SGD$32.99,,https://www.asos.com/asos-design/asos-design-essentials-2-pack-crew-neck-t-shirts-in-khaki-and-cream/prd/208296676#colourWayId-208296677,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Adidas 5 pack active flex cotton trunks in black,SGD$124.99,,https://www.asos.com/adidas/adidas-5-pack-active-flex-cotton-trunks-in-black/prd/209021118#colourWayId-209021119,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"Topman 3 pack regular fit t-shirt in dark stone, burgundy and navy",SGD$55.99,,https://www.asos.com/topman/topman-3-pack-regular-fit-t-shirt-in-dark-stone-burgundy-and-navy/prd/208454372#colourWayId-208454381,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"ASOS DESIGN Essentials 3 pack oversized t-shirts in white, navy and grey marl",SGD$62.99,,https://www.asos.com/asos-design/asos-design-essentials-3-pack-oversized-t-shirts-in-white-navy-and-grey-marl/prd/208514194#colourWayId-208514196,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
4505 quick dry running socks with arch support 5 pack in white,SGD$51.99,,https://www.asos.com/4505/4505-quick-dry-running-socks-with-arch-support-5-pack-in-white/prd/208508211#colourWayId-208508213,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
New Look 3 pack boxers in navy,SGD$32.99,https://images.asos-media.com/products/new-look-3-pack-boxers-in-navy/208761148-1-navy/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/new-look/new-look-3-pack-boxers-in-navy/prd/208761148#colourWayId-208761149,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN 4 pack faux leather and woven bracelet in monochrome,SGD$22.99,https://images.asos-media.com/products/asos-design-4-pack-faux-leather-and-woven-bracelet-in-monochrome/208148756-1-black/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/asos-design/asos-design-4-pack-faux-leather-and-woven-bracelet-in-monochrome/prd/208148756#colourWayId-208148769,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
"Topman 5 pack regular fit t-shirt in white, ecru, khaki, black and burgundy",SGD$89.99,https://images.asos-media.com/products/topman-5-pack-regular-fit-t-shirt-in-white-ecru-khaki-black-and-burgundy/208454412-1-multi/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/topman/topman-5-pack-regular-fit-t-shirt-in-white-ecru-khaki-black-and-burgundy/prd/208454412#colourWayId-208454416,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Abercrombie & Fitch 5 pack logo waist woven boxers in neutral print,SGD$111.99,https://images.asos-media.com/products/abercrombie-fitch-5-pack-logo-waist-woven-boxers-in-neutral-print/209114081-1-neutral/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/abercrombie-fitch/abercrombie-fitch-5-pack-logo-waist-woven-boxers-in-neutral-print/prd/209114081#colourWayId-209114085,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
adidas Originals adicolor Trefoil 6 pack crew socks in browns and creams,SGD$42.99,https://images.asos-media.com/products/adidas-originals-adicolor-trefoil-6-pack-crew-socks-in-browns-and-creams/207980242-1-creamwhitewonderq/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/adidas-originals/adidas-originals-adicolor-trefoil-6-pack-crew-socks-in-browns-and-creams/prd/207980242#colourWayId-207980253,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Lacoste 3 pack trunks in black,SGD$68.99,https://images.asos-media.com/products/lacoste-3-pack-trunks-in-black/208948143-1-black/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/lacoste/lacoste-3-pack-trunks-in-black/prd/208948143#colourWayId-208948155,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
Calvin Klein Icon Cotton Stretch 3 pack low rise trunk in blue tones,SGD$94.99,https://images.asos-media.com/products/calvin-klein-icon-cotton-stretch-3-pack-low-rise-trunk-in-blue-tones/207830100-1-multi/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/calvin-klein/calvin-klein-icon-cotton-stretch-3-pack-low-rise-trunk-in-blue-tones/prd/207830100#colourWayId-207830144,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
ASOS DESIGN Essentials 3 pack oversized t-shirts in black,SGD$62.99,https://images.asos-media.com/products/asos-design-essentials-3-pack-oversized-t-shirts-in-black/208514193-1-black/?$n_480w$&wid=476&fit=constrain,https://www.asos.com/asos-design/asos-design-essentials-3-pack-oversized-t-shirts-in-black/prd/208514193#colourWayId-208514195,https://www.asos.com/men/multipacks/cat/?cid=20831&page=1
